TriggerName,count
fixaLetter,72297
respLetterTimeout,45805
trialStart_N1,15002
fixaProbChoice,12021
trialStart_N2,12008
fixaCueOffline,12002
trialStart_N3,9012
fixaCue,6007
cueEasy,4516
fixaLearningCheckT2,3007
fixaLearningCheckT1,3007
probLearningCheckT1,2581
probTLX_MentalDemand_N1,2253
respLetterCorrect,2098
probEasyOfflineRatingT3,2049
probLearningCheckT2,1728
cueEasyOfflineRatingT2,1509
cueHardOfflineRatingT2,1509
cueHardOfflineRatingT1,1507
cueEasyOfflineRatingT3,1506
cueHard,1506
cueEasyOfflineRatingT0,1502
cueHardOfflineRatingT0,1499
cueHardOfflineRatingT3,1498
cueEasyOfflineRatingT1,1496
probTLX_Frustration_N2,1166
probEasyOfflineRatingT0,1049
probTLX_Effort_N1,1021
probHardOfflineRatingT3,888
probHardOfflineRatingT0,872
probEasyOfflineRatingT1,771
respLetterError,760
instructions,623
probTLX_MentalDemand_N2,609
probTLX_MentalDemand_N3,603
probTLX_Effort_N2,516
probTLX_Effort_N3,511
probTLX_Frustration_N1,489
probTLX_Frustration_N3,461
probEasyOfflineRatingT2,443
probHardOfflineRatingT2,318
probHardOfflineRatingT1,309
letterDiff,137
letterSame,54
trialEnd_N1,50
trialEnd_N2,40
trialEnd_N3,30
respChoiceTrueHard,21
respLearningCheckT2,20
respChoiceTrueEasy,20
respLearningCheckT1,20
respTLX_MentalDemand_N3,11
respTLX_Frustration_N3,11
expStart,11
pracMainStart,11
respEasyOfflineRatingT0,11
respEasyOfflineRatingT3,10
respHardOfflineRatingT3,10
prac2BackStart,10
caliStart,10
respTLX_Effort_N3,10
prac1BackStart,10
prac3BackStart,10
respTLX_Frustration_N2,10
testStart,10
respTLX_Effort_N2,10
respTLX_MentalDemand_N2,10
respHardOfflineRatingT0,10
respTLX_Frustration_N1,10
respEasyOfflineRatingT1,10
respTLX_Effort_N1,10
respHardOfflineRatingT1,10
respTLX_MentalDemand_N1,10
respEasyOfflineRatingT2,10
respHardOfflineRatingT2,10
expEnd,10
probChoiceFalse,4
probChoiceTrue,1
